category,refs_in_categories,unique_refs,files_in_fs,only_in_fs,only_in_categories
"elements",369,368,121,121,368
"answers",1,1,0,0,1
"pokemon",369,368,111,111,368
"mythology",369,368,99,1,270
"capitals",269,268,129,0,139
"superheroes",140,139,85,85,139
"animals",140,139,80,80,139
"birds",140,139,79,79,139
"snakes-reptiles-amphibians",140,139,79,79,139
"sea-animals",140,139,80,80,139
"football-players",150,150,80,0,70
"basketball-clubs",336,336,40,1,297
"actors",1582,1582,80,1,1503
"famous-cars",1503,1503,80,0,1423
"f1-drivers",152,152,78,76,150
"car-logos",222,222,94,80,208
"football-stadium",1267,1267,80,0,1187
"country-flags",208,208,79,23,152
"movies",1164,1164,80,0,1084
"video-games",60,60,85,25,0
"basketball-players",297,297,80,5,222
"famous-people",975,975,80,0,895
"singers",895,895,79,0,816
"star-wars",70,70,80,70,60
"horror",746,746,58,0,688
"disney",686,686,123,0,563
"monuments",562,562,77,0,485
"countries",485,485,149,0,336
